"run","duration","date","roc_auc_score model=""GT"", outliers=""omiss"" ","roc_auc_score model=""GT"", outliers=""commiss"" ","roc_auc_score model=""CPPOD"", outliers=""omiss"" ","roc_auc_score model=""CPPOD"", outliers=""commiss"" ","hparams.use_context","hparams.use_personalisation","hparams.n_persons","hparams.nhid","experiment","roc_auc_score model=""LEN"", outliers=""commiss"" ","roc_auc_score model=""LEN"", outliers=""omiss"" ","roc_auc_score model=""RND"", outliers=""commiss"" ","roc_auc_score model=""RND"", outliers=""omiss"" ","hparams.context_intensity_pois_factors","hparams.context_intensity_pois_min","hparams.dt","hparams.n_test","hparams.n_train","hparams.non_regulator_outliers_prob","hparams.t_max"
"Run: 6ecc18095c274c8f908f0f1c","31sec 507ms","12:35:31 · 10 Sep, 23","0.75522159","0.759198","0.74386384","0.72980232","True","True","20","64","default","0.5836195","0.63875674","0.51295056","0.51414312","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: ee1f3054f2b04cd58c040998","22sec 430ms","12:35:09 · 10 Sep, 23","0.77674349","0.74506362","0.76103711","0.7168902","True","True","14","64","default","0.5476085","0.65498891","0.48605737","0.48433054","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 40a52139ce2c464293cdf2c5","22sec 441ms","12:34:46 · 10 Sep, 23","0.76285472","0.72018529","0.75145174","0.69417718","True","True","10","64","default","0.57538208","0.65731913","0.50195326","0.52616329","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 87611dc164a74f6e94a139b5","17sec 98ms","12:34:29 · 10 Sep, 23","0.77881017","0.73720442","0.76939079","0.70143829","True","True","7","64","default","0.54535473","0.66269103","0.49467012","0.4672849","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 4084a403724546daa416e76f","12sec 87ms","12:34:16 · 10 Sep, 23","0.75487501","0.73317308","0.74741403","0.70665954","True","True","4","64","default","0.56272555","0.65423542","0.50101496","0.47048786","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 8f052e25a78c4decac936597","9sec 391ms","12:34:07 · 10 Sep, 23","0.79285714","0.69924183","0.78879284","0.72501961","True","True","2","64","default","0.59603486","0.67588717","0.52064488","0.46910828","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 7cecdcf4f74f46af8d4190de","7sec 301ms","12:33:59 · 10 Sep, 23","0.80422323","0.81317316","0.7653092","0.74730737","True","True","1","64","default","0.58885667","0.62696833","0.59942005","0.52361991","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 0e48603a41e04ee1b95998a2","26sec 592ms","12:33:33 · 10 Sep, 23","0.75522159","0.759198","0.70528936","0.67382191","False","True","20","64","default","0.5836195","0.63875674","0.51295056","0.51414312","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 35fa419c45854cd69b58c6cf","24sec 237ms","12:33:08 · 10 Sep, 23","0.77674349","0.74506362","0.71918927","0.6617608","False","True","14","64","default","0.5476085","0.65498891","0.48605737","0.48433054","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 2bdfe63689c84165b4a4cafb","19sec 873ms","12:32:48 · 10 Sep, 23","0.76285472","0.72018529","0.71507801","0.65343011","False","True","10","64","default","0.57538208","0.65731913","0.50195326","0.52616329","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: b9087ef59b7244cba5135bd3","13sec 919ms","12:32:34 · 10 Sep, 23","0.77881017","0.73720442","0.72059116","0.64875082","False","True","7","64","default","0.54535473","0.66269103","0.49467012","0.4672849","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: f83b5006ad0c40bc9a0fae2c","11sec 1ms","12:32:23 · 10 Sep, 23","0.75487501","0.73317308","0.71909241","0.64341762","False","True","4","64","default","0.56272555","0.65423542","0.50101496","0.47048786","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 7fff580b31f04297a8b4b5df","8sec 954ms","12:32:14 · 10 Sep, 23","0.79285714","0.69924183","0.73542614","0.68562963","False","True","2","64","default","0.59603486","0.67588717","0.52064488","0.46910828","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: d6bd3a8e1a9246cdb5789a33","7sec 270ms","12:32:06 · 10 Sep, 23","0.80422323","0.81317316","0.69260935","0.61996686","False","True","1","64","default","0.58885667","0.62696833","0.59942005","0.52361991","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 5ef71d491c434fba958712a5","34sec 788ms","12:31:31 · 10 Sep, 23","0.75522159","0.759198","0.74288608","0.72883333","True","False","20","64","default","0.5836195","0.63875674","0.51295056","0.51414312","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 069480c93a1f4e308a327a57","28sec 64ms","12:31:03 · 10 Sep, 23","0.77674349","0.74506362","0.75819147","0.71946304","True","False","14","64","default","0.5476085","0.65498891","0.48605737","0.48433054","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: f70fc8d9982f4c3f9e373af1","21sec 328ms","12:30:42 · 10 Sep, 23","0.76285472","0.72018529","0.74928428","0.69381167","True","False","10","64","default","0.57538208","0.65731913","0.50195326","0.52616329","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: d1f164dbb1904256a189b58f","14sec 290ms","12:30:27 · 10 Sep, 23","0.77881017","0.73720442","0.76212696","0.69853881","True","False","7","64","default","0.54535473","0.66269103","0.49467012","0.4672849","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 1af791ab9ded4b109d501045","11sec 733ms","12:30:15 · 10 Sep, 23","0.75487501","0.73317308","0.7540107","0.70673077","True","False","4","64","default","0.56272555","0.65423542","0.50101496","0.47048786","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 5ae1919e43d84aa294376436","9sec 295ms","12:30:06 · 10 Sep, 23","0.79285714","0.69924183","0.78953594","0.72712854","True","False","2","64","default","0.59603486","0.67588717","0.52064488","0.46910828","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 7283822570674d2882b72a95","7sec 304ms","12:29:58 · 10 Sep, 23","0.80422323","0.81317316","0.72977376","0.73960232","True","False","1","64","default","0.58885667","0.62696833","0.59942005","0.52361991","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: ec241ffd716c40959af9503d","28sec 869ms","12:29:29 · 10 Sep, 23","0.75522159","0.759198","0.70992272","0.68441124","False","False","20","64","default","0.5836195","0.63875674","0.51295056","0.51414312","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 28043000106f42c88720995f","25sec 456ms","12:29:04 · 10 Sep, 23","0.77674349","0.74506362","0.72829983","0.66392126","False","False","14","64","default","0.5476085","0.65498891","0.48605737","0.48433054","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 366c6ced6a3343d9a85486ee","16sec 990ms","12:28:47 · 10 Sep, 23","0.76285472","0.72018529","0.72058618","0.65351337","False","False","10","64","default","0.57538208","0.65731913","0.50195326","0.52616329","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: ec60744d8f814257823fac6e","15sec 734ms","12:28:31 · 10 Sep, 23","0.77881017","0.73720442","0.7285364","0.65469199","False","False","7","64","default","0.54535473","0.66269103","0.49467012","0.4672849","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: b5b6ec80391a4f3b94fff599","10sec 949ms","12:28:20 · 10 Sep, 23","0.75487501","0.73317308","0.73257571","0.66380579","False","False","4","64","default","0.56272555","0.65423542","0.50101496","0.47048786","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 9f81badd5fbd441f966ea3ad","8sec 518ms","12:28:11 · 10 Sep, 23","0.79285714","0.69924183","0.7381104","0.6844793","False","False","2","64","default","0.59603486","0.67588717","0.52064488","0.46910828","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 2321addf22d74985afca2237","7sec 635ms","12:28:03 · 10 Sep, 23","0.80422323","0.81317316","0.65653092","0.54018227","False","False","1","64","default","0.58885667","0.62696833","0.59942005","0.52361991","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 72892a17c6824f28af93abfa","1min 17sec","11:47:18 · 10 Sep, 23","0.76546733","0.74404626","0.74609058","0.71777157","True","True","70","64","default","0.54783632","0.63119798","0.50335476","0.4960774","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: be958b19025e4f4ab29daa24","1min 16sec","11:46:01 · 10 Sep, 23","0.7619377","0.74562151","0.74499127","0.73305348","True","True","60","64","default","0.56243886","0.64470863","0.50308128","0.51181819","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 1e004d75433943748aff96f0","1min 12sec","11:44:48 · 10 Sep, 23","0.76537985","0.76019662","0.75514839","0.74058597","True","True","50","64","default","0.56731874","0.64582222","0.49774264","0.50048386","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 6d8e4c857e6f42989cd6796a","54sec 467ms","11:43:54 · 10 Sep, 23","0.76255818","0.74590987","0.74776275","0.71268263","True","True","40","64","default","0.54695986","0.65229114","0.50656309","0.51001786","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 30e9ace9f7e34c58a30d257d","45sec 808ms","11:43:08 · 10 Sep, 23","0.77144123","0.74352582","0.75451394","0.71975645","True","True","30","64","default","0.55985178","0.66008901","0.50113522","0.49563157","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 16b0c84cbdc342fc8014c0ba","26sec 839ms","11:42:41 · 10 Sep, 23","0.75522159","0.759198","0.74312432","0.72845725","True","True","20","64","default","0.5836195","0.63875674","0.51295056","0.51414312","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: ab807a58d567480aabb05449","19sec 911ms","11:42:21 · 10 Sep, 23","0.76285472","0.72018529","0.74964031","0.69537029","True","True","10","64","default","0.57538208","0.65731913","0.50195326","0.52616329","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 2107287c85524b42b6a9ef06","9sec 794ms","11:42:11 · 10 Sep, 23","0.75694728","0.72100193","0.69579373","0.63934237","True","True","5","64","default","0.55260296","0.65887313","0.4985288","0.46964155","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 01b7367e72ab48e5a990f97f","7sec 230ms","11:42:03 · 10 Sep, 23","0.80422323","0.81317316","0.76446456","0.72941176","True","True","1","64","default","0.58885667","0.62696833","0.59942005","0.52361991","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 08b892f991ba4b46b60438fd","1min 31sec","11:40:32 · 10 Sep, 23","0.76546733","0.74404626","0.70307651","0.66019559","False","True","70","64","default","0.54783632","0.63119798","0.50335476","0.4960774","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 64d4f2b06c4d4d3799e49b87","1min 29sec","11:39:02 · 10 Sep, 23","0.7619377","0.74562151","0.70836282","0.68071415","False","True","60","64","default","0.56243886","0.64470863","0.50308128","0.51181819","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 5103bc6b50164020a9c3517c","53sec 709ms","11:38:08 · 10 Sep, 23","0.76537985","0.76019662","0.71237348","0.68012831","False","True","50","64","default","0.56731874","0.64582222","0.49774264","0.50048386","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: da5c4cf82a7e47f8b7a5432a","47sec 976ms","11:37:20 · 10 Sep, 23","0.76255818","0.74590987","0.71166949","0.66791322","False","True","40","64","default","0.54695986","0.65229114","0.50656309","0.51001786","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 57c199f253164ff98872a81c","40sec 497ms","11:36:39 · 10 Sep, 23","0.77144123","0.74352582","0.71335005","0.67317922","False","True","30","64","default","0.55985178","0.66008901","0.50113522","0.49563157","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
