"run","experiment","duration","date","tags","roc_auc_score model=""GT"", outliers=""omiss"" ","roc_auc_score model=""GT"", outliers=""commiss"" ","roc_auc_score model=""CPPOD"", outliers=""omiss"" ","roc_auc_score model=""CPPOD"", outliers=""commiss"" ","hparams.use_context","hparams.use_personalisation","hparams.n_persons","hparams.nhid","roc_auc_score model=""LEN"", outliers=""commiss"" ","roc_auc_score model=""LEN"", outliers=""omiss"" ","roc_auc_score model=""RND"", outliers=""commiss"" ","roc_auc_score model=""RND"", outliers=""omiss"" ","hparams.context_intensity_pois_factors","hparams.context_intensity_pois_min","hparams.dt","hparams.n_test","hparams.n_train","hparams.non_regulator_outliers_prob","hparams.t_max"
"Run: b24be7e78ec44a3ca7f13120","default","20min 52sec","18:20:04 · 10 Sep, 23","[object Object]","0.75691757","0.7097649","0.75118974","0.70193043","True","True","1000","64","0.5416544","0.66463682","0.49851222","0.50025144","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: 18c32436f14e45b6972d6a9e","default","17min 17sec","18:02:47 · 10 Sep, 23","[object Object]","0.75289386","0.70906009","0.74914093","0.70440606","True","True","400","64","0.54372711","0.65798467","0.49428763","0.50476414","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: 90716095c2664d8c87c0a885","default","8min 34sec","17:54:12 · 10 Sep, 23","[object Object]","0.75792555","0.71441803","0.75551076","0.70827539","True","True","120","64","0.54675653","0.66350122","0.49409783","0.50449458","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: baf15a8614e84e08bf3e9f6b","default","2min 38sec","17:51:33 · 10 Sep, 23","[object Object]","0.76095299","0.70744632","0.75154135","0.68930819","True","True","50","64","0.55537744","0.65755258","0.51117043","0.49473727","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: 93aa80989e184e038efd3e8f","default","37sec 67ms","17:50:56 · 10 Sep, 23","[object Object]","0.76736622","0.73103515","0.73420161","0.69943631","True","True","10","64","0.55801379","0.68626603","0.47923352","0.51192235","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: 9273bb5a52c0477c8461c9ed","default","11sec 454ms","17:50:44 · 10 Sep, 23","[object Object]","0.73901917","0.63488372","0.73123727","0.66552326","True","True","1","64","0.50348837","0.67086228","0.43715116","0.5440539","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: 4eaad0370f7c4ad4a1f84ed0","default","20min 41sec","17:30:03 · 10 Sep, 23","[object Object]","0.75691757","0.7097649","0.73781811","0.68522701","True","False","1000","64","0.5416544","0.66463682","0.49851222","0.50025144","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: 98a68317d02145bfa6a37b78","default","17min 21sec","17:12:41 · 10 Sep, 23","[object Object]","0.75289386","0.70906009","0.73428382","0.68436626","True","False","400","64","0.54372711","0.65798467","0.49428763","0.50476414","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: 60a2e8ba0bed4c52a6bfa0eb","default","8min 28sec","17:04:12 · 10 Sep, 23","[object Object]","0.75792555","0.71441803","0.73412471","0.68616307","True","False","120","64","0.54675653","0.66350122","0.49409783","0.50449458","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: 79baa7d6332c46cea392e81b","default","3min 46sec","17:00:25 · 10 Sep, 23","[object Object]","0.76095299","0.70744632","0.74197919","0.68239817","True","False","50","64","0.55537744","0.65755258","0.51117043","0.49473727","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: d8817b3ad049464ebf013dc1","default","39sec 851ms","16:59:45 · 10 Sep, 23","[object Object]","0.76736622","0.73103515","0.73508311","0.69937027","True","False","10","64","0.55801379","0.68626603","0.47923352","0.51192235","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: 7d9bdec510a348dd94d0f9dc","default","11sec 311ms","16:59:34 · 10 Sep, 23","[object Object]","0.73901917","0.63488372","0.73139395","0.66116279","True","False","1","64","0.50348837","0.67086228","0.43715116","0.5440539","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: a8de130834194fa18345879d","default","20min 25sec","16:38:42 · 10 Sep, 23","[object Object]","0.75691757","0.7097649","0.72803023","0.65976156","False","True","1000","64","0.5416544","0.66463682","0.49851222","0.50025144","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: d75828a9bf0c4ac0bf658f3e","default","17min 11sec","16:21:30 · 10 Sep, 23","[object Object]","0.75289386","0.70906009","0.72228708","0.65704826","False","True","400","64","0.54372711","0.65798467","0.49428763","0.50476414","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: dd45e4916ef2442fa4f4f2b1","default","4min 27sec","16:17:02 · 10 Sep, 23","[object Object]","0.75792555","0.71441803","0.72502391","0.66193627","False","True","120","64","0.54675653","0.66350122","0.49409783","0.50449458","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: f5b5d3c5f8a74c4c956043d0","default","1min 50sec","16:15:12 · 10 Sep, 23","[object Object]","0.76095299","0.70744632","0.71984256","0.64537969","False","True","50","64","0.55537744","0.65755258","0.51117043","0.49473727","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: 9a58af45019446dc895e9c08","default","38sec 881ms","16:14:33 · 10 Sep, 23","[object Object]","0.76736622","0.73103515","0.7209144","0.67378106","False","True","10","64","0.55801379","0.68626603","0.47923352","0.51192235","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: ecef25893fa84f1d9fbe7678","default","9sec 944ms","16:14:23 · 10 Sep, 23","[object Object]","0.73901917","0.63488372","0.72314201","0.56011628","False","True","1","64","0.50348837","0.67086228","0.43715116","0.5440539","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: 1ef9590eb0b348b3a596485d","default","20min 19sec","15:53:35 · 10 Sep, 23","[object Object]","0.75691757","0.7097649","0.71754721","0.64699896","False","False","1000","64","0.5416544","0.66463682","0.49851222","0.50025144","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: 5d671ed32ae541cbaf581cbe","default","9min 25sec","15:31:31 · 10 Sep, 23","[object Object]","0.75289386","0.70906009","0.71024282","0.64821425","False","False","400","64","0.54372711","0.65798467","0.49428763","0.50476414","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
"Run: a587676430d0450cb4a81504","default","6min 9sec","15:25:21 · 10 Sep, 23","[object Object]","0.75792555","0.71441803","0.71199203","0.65004348","False","False","120","64","0.54675653","0.66350122","0.49409783","0.50449458","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100"
