"run","experiment","duration","date","tags","roc_auc_score model=""GT"", outliers=""omiss"" ","roc_auc_score model=""GT"", outliers=""commiss"" ","roc_auc_score model=""CPPOD"", outliers=""omiss"" ","roc_auc_score model=""CPPOD"", outliers=""commiss"" ","hparams.use_context","hparams.use_personalisation","hparams.n_persons","hparams.nhid","roc_auc_score model=""LEN"", outliers=""commiss"" ","roc_auc_score model=""LEN"", outliers=""omiss"" ","roc_auc_score model=""RND"", outliers=""commiss"" ","roc_auc_score model=""RND"", outliers=""omiss"" ","hparams.context_intensity_pois_factors","hparams.context_intensity_pois_min","hparams.dt","hparams.n_test","hparams.n_train","hparams.non_regulator_outliers_prob","hparams.t_max"
"Run: 3505e7f485ab4239a880f559","main","21min 9sec","20:17:28 · 11 Sep, 23","[object Object]","0.7586668","0.70783046","0.7410993","0.68368499","True","True","50","64","0.5544334","0.66156056","0.49597208","0.500866","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","2000"
"Run: 7354b3bea4a046c4b6bdd5ae","main","20min 59sec","19:55:16 · 11 Sep, 23","[object Object]","0.7586668","0.70783046","0.74059411","0.68383092","True","False","50","64","0.5544334","0.66156056","0.49597208","0.500866","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","2000"
"Run: b65ef586a4774b7e9005aaed","main","18min 9sec","19:37:06 · 11 Sep, 23","[object Object]","0.75869499","0.71085047","0.74903827","0.69852462","True","False","50","64","0.55190574","0.66230706","0.50243199","0.5002156","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","1000"
"Run: 4eb707121a1640fea7e7058d","main","9min 29sec","19:27:37 · 11 Sep, 23","[object Object]","0.75895975","0.70923513","0.7494929","0.69592227","True","False","50","64","0.55581374","0.66325719","0.50006248","0.49939617","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","500"
"Run: 40c26d31112d4b3eafb43b3f","main","4min 5sec","19:23:31 · 11 Sep, 23","[object Object]","0.75808116","0.71764399","0.74224237","0.70182988","True","False","50","64","0.55591393","0.65833244","0.49128137","0.50082622","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","200"
"Run: 985eadd7f3744ca9ad552067","main","1min 50sec","19:21:41 · 11 Sep, 23","[object Object]","0.76221995","0.71690703","0.7389265","0.68506342","True","False","50","64","0.56048934","0.66574859","0.48952931","0.502521","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","100"
"Run: eb45af91f0d247e9ba92e2b9","main","45sec 179ms","19:20:56 · 11 Sep, 23","[object Object]","0.76031406","0.71158627","0.7236645","0.67285566","True","False","50","64","0.5469526","0.66046157","0.50520798","0.49829023","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","50"
"Run: 3ad0e1fb1da849c695a10695","main","21min 5sec","18:58:49 · 11 Sep, 23","[object Object]","0.7586668","0.70783046","0.71747733","0.64408204","False","False","50","64","0.5544334","0.66156056","0.49597208","0.500866","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","2000"
"Run: 7203c42ee46b43ec86cb96e9","main","17min 5sec","18:41:43 · 11 Sep, 23","[object Object]","0.75869499","0.71085047","0.72034598","0.65042458","False","False","50","64","0.55190574","0.66230706","0.50243199","0.5002156","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","1000"
"Run: 5482a3fd61e244cb87e93ab5","main","6min 32sec","18:35:11 · 11 Sep, 23","[object Object]","0.75895975","0.70923513","0.71959164","0.64435506","False","False","50","64","0.55581374","0.66325719","0.50006248","0.49939617","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","500"
