"run","experiment","duration","date","tags","roc_auc_score model=""GT"", outliers=""omiss"" ","roc_auc_score model=""GT"", outliers=""commiss"" ","roc_auc_score model=""CPPOD"", outliers=""omiss"" ","roc_auc_score model=""CPPOD"", outliers=""commiss"" ","hparams.use_context","hparams.use_personalisation","hparams.n_persons","hparams.nhid","roc_auc_score model=""LEN"", outliers=""commiss"" ","roc_auc_score model=""LEN"", outliers=""omiss"" ","roc_auc_score model=""RND"", outliers=""commiss"" ","roc_auc_score model=""RND"", outliers=""omiss"" ","hparams.context_intensity_pois_factors","hparams.context_intensity_pois_min","hparams.dt","hparams.n_test","hparams.n_train","hparams.non_regulator_outliers_prob","hparams.t_max"
"Run: 98964a87fddc4ccc8b68ec95","main","6min 10sec","20:37:56 · 10 Sep, 23","[object Object]","0.78722854","0.66510319","0.74149431","0.60228119","False","False","2","64","0.51439144","0.69282575","0.5070282","0.50087901","[100, 100]","[0.004, 0.01]","0.1","10","1000","0.1","100"
"Run: 4597e7fada074ecd9ee2a2a9","main","1min 59sec","20:35:57 · 10 Sep, 23","[object Object]","0.73333131","0.69230497","0.69791192","0.61245998","False","False","2","64","0.51645223","0.67674741","0.58024079","0.44242829","[100, 100]","[0.004, 0.01]","0.1","10","500","0.1","100"
"Run: d21bfb86ad644910b0803954","main","49sec 101ms","20:35:08 · 10 Sep, 23","[object Object]","0.74840781","0.64794846","0.71660368","0.59197405","False","False","2","64","0.52542653","0.67915753","0.47933437","0.46343913","[100, 100]","[0.004, 0.01]","0.1","10","250","0.1","100"
"Run: 9d9e8ba64bfa440d83e2aa8d","main","24sec 271ms","20:34:43 · 10 Sep, 23","[object Object]","0.74618311","0.62318516","0.72452135","0.59149949","False","False","2","64","0.54380863","0.69100393","0.50056285","0.51671576","[100, 100]","[0.004, 0.01]","0.1","10","100","0.1","100"
"Run: dde253db3b924620a8202756","main","23sec 83ms","20:34:20 · 10 Sep, 23","[object Object]","0.72651725","0.68370701","0.68695838","0.6534919","False","False","2","64","0.53151795","0.67227321","0.48903196","0.47907506","[100, 100]","[0.004, 0.01]","0.1","10","50","0.1","100"
"Run: 7d516adf6faf4ca494a232ca","main","1min 35sec","20:32:44 · 10 Sep, 23","[object Object]","0.78722854","0.66510319","0.7385212","0.60214718","False","True","2","64","0.51439144","0.69282575","0.5070282","0.50087901","[100, 100]","[0.004, 0.01]","0.1","10","1000","0.1","100"
"Run: 02835b057f0143abb0294d23","main","2min 13sec","20:30:30 · 10 Sep, 23","[object Object]","0.73333131","0.69230497","0.69862112","0.61409043","False","True","2","64","0.51645223","0.67674741","0.58024079","0.44242829","[100, 100]","[0.004, 0.01]","0.1","10","500","0.1","100"
"Run: 1abbfa7a9a17416c8f5a266c","main","42sec 99ms","20:29:48 · 10 Sep, 23","[object Object]","0.74840781","0.64794846","0.71533522","0.59584885","False","True","2","64","0.52542653","0.67915753","0.47933437","0.46343913","[100, 100]","[0.004, 0.01]","0.1","10","250","0.1","100"
"Run: ac6848071897497a9a1bd57e","main","30sec 391ms","20:29:18 · 10 Sep, 23","[object Object]","0.74618311","0.62318516","0.72428817","0.59422716","False","True","2","64","0.54380863","0.69100393","0.50056285","0.51671576","[100, 100]","[0.004, 0.01]","0.1","10","100","0.1","100"
"Run: b0cd3b74f89842ed90564022","main","19sec 955ms","20:28:57 · 10 Sep, 23","[object Object]","0.72651725","0.68370701","0.68468161","0.65305257","False","True","2","64","0.53151795","0.67227321","0.48903196","0.47907506","[100, 100]","[0.004, 0.01]","0.1","10","50","0.1","100"
