"run","experiment","duration","date","tags","roc_auc_score model=""GT"", outliers=""omiss"" ","roc_auc_score model=""GT"", outliers=""commiss"" ","roc_auc_score model=""CPPOD"", outliers=""omiss"" ","roc_auc_score model=""CPPOD"", outliers=""commiss"" ","hparams.use_context","hparams.use_personalisation","hparams.n_persons","hparams.nhid","roc_auc_score model=""LEN"", outliers=""commiss"" ","roc_auc_score model=""LEN"", outliers=""omiss"" ","roc_auc_score model=""RND"", outliers=""commiss"" ","roc_auc_score model=""RND"", outliers=""omiss"" ","hparams.context_intensity_pois_factors","hparams.context_intensity_pois_min","hparams.dt","hparams.n_test","hparams.n_train","hparams.non_regulator_outliers_prob","hparams.t_max","hparams.seed"
"Run: ab59a7d652354d49b1c95707","main","3min 58sec","21:13:59 · 18 Sep, 23","[object Object]","0.78384782","0.63750633","0.72145757","0.59864699","False","False","2","64","0.52781999","0.71858775","0.49940898","0.51972057","[100, 100]","[0.004, 0.01]","0.1","10","1000","0.1","100","2"
"Run: 2dc395f7cfa94b5985d433c8","main","2min 21sec","21:11:37 · 18 Sep, 23","[object Object]","0.73579545","0.73606503","0.6666756","0.72007532","False","False","2","64","0.60744493","0.60246033","0.43115455","0.50726308","[100, 100]","[0.004, 0.01]","0.1","10","1000","0.1","100","1"
"Run: 7c7338093018474ebafe9ee8","main","5min 17sec","21:06:20 · 18 Sep, 23","[object Object]","0.78722854","0.66510319","0.74043433","0.60161113","False","False","2","64","0.51439144","0.69282575","0.5070282","0.50087901","[100, 100]","[0.004, 0.01]","0.1","10","1000","0.1","100","0"
"Run: e4e6f052f1f048f287699093","main","1min 17sec","21:05:02 · 18 Sep, 23","[object Object]","0.72497728","0.64204883","0.67139489","0.56994647","False","False","2","64","0.56144684","0.65681723","0.45380956","0.51338639","[100, 100]","[0.004, 0.01]","0.1","10","600","0.1","100","2"
"Run: a912be726b9543fb9429fdd1","main","41sec 786ms","21:04:20 · 18 Sep, 23","[object Object]","0.78979163","0.70647321","0.72674774","0.6582815","False","False","2","64","0.54202197","0.67528009","0.50983146","0.49634085","[100, 100]","[0.004, 0.01]","0.1","10","600","0.1","100","1"
"Run: 73933af0b34d4eaf9404017a","main","59sec 419ms","21:03:20 · 18 Sep, 23","[object Object]","0.72928997","0.61661375","0.70289396","0.59227062","False","False","2","64","0.50457269","0.66747164","0.5123257","0.48330331","[100, 100]","[0.004, 0.01]","0.1","10","600","0.1","100","0"
"Run: bd9dae887f6d4d44b3857802","main","33sec 142ms","21:02:47 · 18 Sep, 23","[object Object]","0.76655751","0.73233935","0.68975756","0.63245903","False","False","2","64","0.53002726","0.67794125","0.47516705","0.41737133","[100, 100]","[0.004, 0.01]","0.1","10","300","0.1","100","2"
"Run: aecbba906c684b5ca0e32ae9","main","24sec 315ms","21:02:22 · 18 Sep, 23","[object Object]","0.77002318","0.68206466","0.70986351","0.68297697","False","False","2","64","0.53063322","0.63754829","0.58388158","0.46464074","[100, 100]","[0.004, 0.01]","0.1","10","300","0.1","100","1"
"Run: db983d1713e4410cade7b5c4","main","56sec 700ms","21:01:25 · 18 Sep, 23","[object Object]","0.76163432","0.61697348","0.73858203","0.58009345","False","False","2","64","0.53789337","0.6987841","0.52325621","0.53924623","[100, 100]","[0.004, 0.01]","0.1","10","300","0.1","100","0"
"Run: 03a0c61757414b168a474322","main","15sec 472ms","21:01:10 · 18 Sep, 23","[object Object]","0.83695604","0.68886089","0.78064438","0.62508447","False","False","2","64","0.5020961","0.74451638","0.5063513","0.45679175","[100, 100]","[0.004, 0.01]","0.1","10","100","0.1","100","2"
"Run: 0a65629ca0484aacb62dbe8a","main","34sec 658ms","21:00:35 · 18 Sep, 23","[object Object]","0.77175038","0.68223673","0.75884323","0.70741671","False","False","2","64","0.55404319","0.68474886","0.50266198","0.44858447","[100, 100]","[0.004, 0.01]","0.1","10","100","0.1","100","1"
"Run: 60aba59df26f409c8fbedcf4","main","29sec 792ms","21:00:05 · 18 Sep, 23","[object Object]","0.74618311","0.62318516","0.72517182","0.59173041","False","False","2","64","0.54380863","0.69100393","0.50056285","0.51671576","[100, 100]","[0.004, 0.01]","0.1","10","100","0.1","100","0"
"Run: 073a2444a2814c77b8dac012","main","13sec 955ms","20:59:51 · 18 Sep, 23","[object Object]","0.75519267","0.70018972","0.71681145","0.67873785","False","False","2","64","0.55389595","0.65256432","0.46089069","0.49418087","[100, 100]","[0.004, 0.01]","0.1","10","50","0.1","100","2"
"Run: 598abd1bd1dd4da0afa5dec4","main","22sec 129ms","20:59:28 · 18 Sep, 23","[object Object]","0.78550039","0.6997903","0.75277121","0.66369839","False","False","2","64","0.54179219","0.68463357","0.51757339","0.50759128","[100, 100]","[0.004, 0.01]","0.1","10","50","0.1","100","1"
"Run: becea6832e554d718639243d","main","16sec 907ms","20:59:11 · 18 Sep, 23","[object Object]","0.72651725","0.68370701","0.68616151","0.65506741","False","False","2","64","0.53151795","0.67227321","0.48903196","0.47907506","[100, 100]","[0.004, 0.01]","0.1","10","50","0.1","100","0"
"Run: ee28a2394dcb444491b1e57f","main","12sec 709ms","20:58:58 · 18 Sep, 23","[object Object]","0.75633322","0.7370829","0.69689314","0.62499608","False","False","2","64","0.53182974","0.68907477","0.4480334","0.49856606","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100","2"
"Run: 8b388814eb42499abc38bb0c","main","12sec 632ms","20:58:46 · 18 Sep, 23","[object Object]","0.75682261","0.71149931","0.68667425","0.6706784","False","False","2","64","0.52877073","0.66588152","0.55448776","0.48191466","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100","1"
"Run: 5fedcc2f98b141129c512b3a","main","12sec 162ms","20:58:33 · 18 Sep, 23","[object Object]","0.77390009","0.58441968","0.7181659","0.54147743","False","False","2","64","0.48854079","0.69531801","0.42667508","0.45486628","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100","0"
"Run: e709263e321143589e9bda12","main","10sec 856ms","20:58:22 · 18 Sep, 23","[object Object]","0.78178901","0.69697005","0.7414668","0.62664728","False","False","2","64","0.53303286","0.72726756","0.48764176","0.4909093","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","100","2"
"Run: d655790e445940cb958ae233","main","8sec 405ms","20:58:14 · 18 Sep, 23","[object Object]","0.71565934","0.66515426","0.67513736","0.54264973","False","False","2","64","0.51067481","0.65149137","0.45315954","0.48112899","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","100","1"
"Run: b89d1cb4da124b55baf28990","main","10sec 630ms","20:58:03 · 18 Sep, 23","[object Object]","0.71076314","0.67909016","0.6699514","0.57303371","False","False","2","64","0.52196188","0.6338043","0.48086234","0.47216223","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","100","0"
"Run: e436a5e61bef42088900bc24","main","3min 39sec","20:54:23 · 18 Sep, 23","[object Object]","0.78384782","0.63750633","0.71860663","0.60138045","False","True","2","64","0.52781999","0.71858775","0.49940898","0.51972057","[100, 100]","[0.004, 0.01]","0.1","10","1000","0.1","100","2"
"Run: 1e03c4f24bd04eff95f7d1c0","main","4min 52sec","20:49:30 · 18 Sep, 23","[object Object]","0.73579545","0.73606503","0.68640116","0.72584357","False","True","2","64","0.60744493","0.60246033","0.43115455","0.50726308","[100, 100]","[0.004, 0.01]","0.1","10","1000","0.1","100","1"
"Run: 76a6d4f8691440dabba68a30","main","3min 22sec","20:46:08 · 18 Sep, 23","[object Object]","0.78722854","0.66510319","0.73925801","0.60277257","False","True","2","64","0.51439144","0.69282575","0.5070282","0.50087901","[100, 100]","[0.004, 0.01]","0.1","10","1000","0.1","100","0"
"Run: f853d6ebff6e40d3a2a4de54","main","1min 16sec","20:44:51 · 18 Sep, 23","[object Object]","0.72497728","0.64204883","0.67181244","0.5690709","False","True","2","64","0.56144684","0.65681723","0.45380956","0.51338639","[100, 100]","[0.004, 0.01]","0.1","10","600","0.1","100","2"
"Run: e296b25702814d72989f45de","main","42sec 503ms","20:44:08 · 18 Sep, 23","[object Object]","0.78979163","0.70647321","0.73047343","0.6620937","False","True","2","64","0.54202197","0.67528009","0.50983146","0.49634085","[100, 100]","[0.004, 0.01]","0.1","10","600","0.1","100","1"
"Run: 23a4ca012fa14efa888c4b85","main","2min 20sec","20:41:47 · 18 Sep, 23","[object Object]","0.72928997","0.61661375","0.70460619","0.59178766","False","True","2","64","0.50457269","0.66747164","0.5123257","0.48330331","[100, 100]","[0.004, 0.01]","0.1","10","600","0.1","100","0"
"Run: 47fe0f0dd0a34ff59b45162d","main","33sec 762ms","20:41:14 · 18 Sep, 23","[object Object]","0.76655751","0.73233935","0.6888411","0.63505203","False","True","2","64","0.53002726","0.67794125","0.47516705","0.41737133","[100, 100]","[0.004, 0.01]","0.1","10","300","0.1","100","2"
"Run: cd1360d1b985454c81a95136","main","30sec 382ms","20:40:43 · 18 Sep, 23","[object Object]","0.77002318","0.68206466","0.71050734","0.68184622","False","True","2","64","0.53063322","0.63754829","0.58388158","0.46464074","[100, 100]","[0.004, 0.01]","0.1","10","300","0.1","100","1"
"Run: 8fe4f703a3d845ab9c14e40c","main","56sec 795ms","20:39:46 · 18 Sep, 23","[object Object]","0.76163432","0.61697348","0.74168668","0.57986827","False","True","2","64","0.53789337","0.6987841","0.52325621","0.53924623","[100, 100]","[0.004, 0.01]","0.1","10","300","0.1","100","0"
"Run: e5397a7371964973a7ef0d54","main","25sec 195ms","20:39:21 · 18 Sep, 23","[object Object]","0.83695604","0.68886089","0.79041138","0.63113224","False","True","2","64","0.5020961","0.74451638","0.5063513","0.45679175","[100, 100]","[0.004, 0.01]","0.1","10","100","0.1","100","2"
"Run: 8b35316476e14ea0bf97540d","main","35sec 381ms","20:38:45 · 18 Sep, 23","[object Object]","0.77175038","0.68223673","0.76898021","0.70818684","False","True","2","64","0.55404319","0.68474886","0.50266198","0.44858447","[100, 100]","[0.004, 0.01]","0.1","10","100","0.1","100","1"
"Run: a958ee078dc34040827b63eb","main","33sec 866ms","20:38:11 · 18 Sep, 23","[object Object]","0.74618311","0.62318516","0.72507364","0.59493433","False","True","2","64","0.54380863","0.69100393","0.50056285","0.51671576","[100, 100]","[0.004, 0.01]","0.1","10","100","0.1","100","0"
"Run: 2dac87bbf4454d0aac985d1d","main","17sec 239ms","20:37:54 · 18 Sep, 23","[object Object]","0.75519267","0.70018972","0.72576289","0.6842298","False","True","2","64","0.55389595","0.65256432","0.46089069","0.49418087","[100, 100]","[0.004, 0.01]","0.1","10","50","0.1","100","2"
"Run: 9554cd90bf4a49bdb3b924b7","main","20sec 54ms","20:37:33 · 18 Sep, 23","[object Object]","0.78550039","0.6997903","0.76277909","0.66882273","False","True","2","64","0.54179219","0.68463357","0.51757339","0.50759128","[100, 100]","[0.004, 0.01]","0.1","10","50","0.1","100","1"
"Run: 01fbb26448ba4f5fa931de28","main","18sec 154ms","20:37:15 · 18 Sep, 23","[object Object]","0.72651725","0.68370701","0.68556386","0.65387063","False","True","2","64","0.53151795","0.67227321","0.48903196","0.47907506","[100, 100]","[0.004, 0.01]","0.1","10","50","0.1","100","0"
"Run: a9d9f37002ba4d389d5a4851","main","11sec 666ms","20:37:03 · 18 Sep, 23","[object Object]","0.75633322","0.7370829","0.6965631","0.63047368","False","True","2","64","0.53182974","0.68907477","0.4480334","0.49856606","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100","2"
"Run: efc2650021e342ccb51ab0f0","main","12sec 440ms","20:36:51 · 18 Sep, 23","[object Object]","0.75682261","0.71149931","0.70026532","0.67469014","False","True","2","64","0.52877073","0.66588152","0.55448776","0.48191466","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100","1"
"Run: 34caa2bece7343149d78b3a8","main","12sec 985ms","20:36:37 · 18 Sep, 23","[object Object]","0.77390009","0.58441968","0.7210807","0.54729465","False","True","2","64","0.48854079","0.69531801","0.42667508","0.45486628","[100, 100]","[0.004, 0.01]","0.1","10","20","0.1","100","0"
"Run: 0759592b00234ee4bcdc0096","main","11sec 471ms","20:36:26 · 18 Sep, 23","[object Object]","0.78178901","0.69697005","0.74650708","0.62450712","False","True","2","64","0.53303286","0.72726756","0.48764176","0.4909093","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","100","2"
"Run: fd5bb640eb334422af85329f","main","8sec 152ms","20:36:18 · 18 Sep, 23","[object Object]","0.71565934","0.66515426","0.66918498","0.56076555","False","True","2","64","0.51067481","0.65149137","0.45315954","0.48112899","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","100","1"
"Run: 95c17d02c99d40fead6b485a","main","11sec 893ms","20:36:05 · 18 Sep, 23","[object Object]","0.71076314","0.67909016","0.66972642","0.56647179","False","True","2","64","0.52196188","0.6338043","0.48086234","0.47216223","[100, 100]","[0.004, 0.01]","0.1","10","10","0.1","100","0"
